Comunidad,Estación,Máx. núm. de días de lluvia en el mes valor,Máx. núm. de días de lluvia en el mes mes,Máx. núm. de días de lluvia en el mes año,Máx. núm. de días de nieve en el mes valor,Máx. núm. de días de nieve en el mes mes,Máx. núm. de días de nieve en el mes año,Máx. núm. de días de tormenta en el mes valor,Máx. núm. de días de tormenta en el mes mes,Máx. núm. de días de tormenta en el mes año,Prec. máx. en un día (l/m2) valor,Prec. máx. en un día (l/m2) mes,Prec. máx. en un día (l/m2) año,Prec. mensual más alta (l/m2) valor,Prec. mensual más alta (l/m2) mes,Prec. mensual más alta (l/m2) año,Prec. mensual más baja (l/m2) valor,Prec. mensual más baja (l/m2) mes,Prec. mensual más baja (l/m2) año,Racha máx. viento: velocidad (km/h),Racha máx. viento: dirección,Racha máx. viento: mes,Racha máx. viento: año,Tem. máx. absoluta (°C) valor,Tem. máx. absoluta (°C) mes,Tem. máx. absoluta (°C) año,Tem. media de las máx. más alta (°C) valor,Tem. media de las máx. más alta (°C) mes,Tem. media de las máx. más alta (°C) año,Tem. media de las mín. más baja (°C) valor,Tem. media de las mín. más baja (°C) mes,Tem. media de las mín. más baja (°C) año,Tem. media más alta (°C) valor,Tem. media más alta (°C) mes,Tem. media más alta (°C) año,Tem. media más baja (°C) valor,Tem. media más baja (°C) mes,Tem. media más baja (°C) año,Tem. mín. absoluta (°C) valor,Tem. mín. absoluta (°C) mes,Tem. mín. absoluta (°C) año
Andalucía,Almería,21,abr,1946,2,dic,1949,7,may,1962,98.3,sept,1951,193.5,dic,1943,0.0,dic,1979,119,Suroeste,mar,1971,39.6,jul,1979,30.9,ago,1949,5.7,feb,1956,27.0,ago,1975,9.5,feb,1956,0.2,feb,1935
Andalucía,Almería Aeropuerto,20,dic,1996,,,,5,oct,1986,99.2,sept,2019,154.5,dic,2016,0.0,dic,2020,137,Oeste,oct,1980,42.0,ago,2022,33.8,ago,2022,5.9,ene,1981,29.3,ago,2024,10.8,feb,2012,0.1,ene,2005
Andalucía,Cádiz,25,mar,2018,,,,6,dic,2000,155.0,oct,2008,459.8,nov,1961,0.0,oct,1985,146,Este,oct,2008,43.0,ago,1982,31.4,ago,2010,5.8,feb,1956,27.8,ago,2010,9.1,feb,1956,-1.0,feb,1956
Andalucía,Jerez de la Frontera Aeropuerto,25,mar,2018,,,,8,dic,2009,116.4,oct,2024,608.9,dic,1996,0.0,sept,1988,142,Sur,oct,2001,45.1,ago,2003,37.9,ago,2023,0.8,feb,2012,28.7,ago,2010,8.0,feb,1956,-5.4,dic,1979
Andalucía,"Rota, Base Naval",26,ene,1996,2,ene,1960,10,dic,1963,126.2,oct,2008,458.6,dic,1996,0.0,ago,2024,115,Suroeste,nov,2002,42.2,jul,2006,33.6,jul,2022,1.8,feb,2012,27.8,jul,2022,9.0,feb,2012,-4.7,ene,2005
Andalucía,Tarifa,23,dic,1995,1,mar,1993,11,dic,1996,139.0,ene,1970,477.9,dic,1927,0.0,sept,2004,166,Suroeste,dic,1989,37.4,sept,1966,30.5,ago,1949,6.8,feb,1956,26.1,ago,1949,9.9,feb,1956,-3.3,ene,2005
Andalucía,Córdoba Aeropuerto,24,dic,1996,2,ene,2006,9,may,1998,154.3,nov,1997,355.0,dic,1996,0.0,sept,2017,128,Suroeste,oct,2023,46.9,ago,2021,40.4,jul,2022,-0.9,feb,2012,30.8,jul,2020,7.2,dic,1967,-8.2,ene,2005
Andalucía,Granada Aeropuerto,23,dic,1996,4,ene,2003,7,sept,2019,82.6,nov,2024,195.1,nov,1983,0.0,sept,1973,108,Oeste,mar,2018,46.0,ago,2021,39.6,jul,2015,-4.8,ene,2005,28.8,jul,2023,4.6,ene,1992,-14.2,ene,1987
Andalucía,Granada Base Aérea,24,abr,1946,6,feb,1944,9,ago,1944,69.3,sept,2007,194.8,nov,1983,0.0,nov,1948,126,Sur,feb,1963,43.8,ago,2021,37.7,jul,2015,-3.1,ene,1941,28.9,jul,2015,3.3,feb,1956,-13.4,feb,1954
Andalucía,Huelva,23,ene,1970,1,oct,1932,9,nov,1983,92.0,oct,1940,336.0,nov,1983,0.0,sept,1974,122,Sur,dic,1973,43.0,ago,1982,35.7,ago,1949,1.5,feb,1938,28.4,ago,1949,7.4,feb,1956,-5.8,feb,1938
Andalucía,"Huelva, Ronda Este",26,ene,1996,,,,7,dic,2010,160.0,sept,1997,386.2,dic,1996,0.0,dic,1993,117,Sur,dic,1998,43.9,jul,2022,36.6,ago,2023,1.7,feb,2012,28.8,ago,2023,9.3,ene,2005,-3.2,ene,2005
Andalucía,Jaén,23,mar,2018,3,mar,2005,8,may,2018,81.0,ago,1996,300.5,dic,2009,0.0,dic,2015,137,Sureste,dic,1989,44.4,jul,2017,38.1,jul,2022,2.3,feb,2012,30.9,jul,2022,6.9,ene,2006,-7.8,ene,2005
Andalucía,"Jaén, Instituto",23,mar,1975,4,dic,1970,10,jun,1973,121.0,feb,1947,294.3,dic,1958,0.0,nov,1958,144,Sureste,dic,1981,46.0,jul,1939,38.0,ago,1923,0.4,feb,1956,30.5,ago,1923,4.7,feb,1956,-8.0,feb,1956
Andalucía,Málaga Aeropuerto,22,dic,1943,1,abr,1948,7,ene,1996,313.0,sept,1957,497.4,nov,1989,0.0,nov,1950,130,Suroeste,ene,1948,44.2,jul,2023,34.3,jul,2023,4.6,feb,1956,29.5,jul,2023,8.9,feb,1956,-3.8,feb,1954
Andalucía,Morón de la Frontera,25,mar,2018,,,,9,may,2000,129.5,nov,2007,384.9,dic,1996,0.0,dic,1988,135,Oeste,dic,1997,46.6,jul,1967,40.2,jul,2022,-0.3,ene,2005,30.6,jul,2022,6.3,feb,1956,-8.0,ene,1976
Andalucía,Sevilla Aeropuerto,25,ene,1996,1,ene,2010,7,nov,1983,109.3,nov,1997,361.1,nov,1983,0.0,dic,1988,136,Suroeste,nov,1966,46.6,jul,1995,39.4,jul,2022,1.0,ene,1968,30.7,jul,2020,7.1,feb,1956,-5.5,feb,1956
Aragón,"Huesca, Aeropuerto",24,may,2008,8,ene,1945,14,jun,2023,110.8,sept,1959,236.4,mar,1974,0.0,nov,1981,136,Oeste,ago,1982,42.6,jul,1982,35.5,jul,2015,-5.4,feb,1956,27.3,jul,2015,0.0,feb,1956,-13.2,feb,1956
Aragón,Calamocha,24,may,2008,12,feb,2013,15,jun,2006,69.2,jul,1996,126.2,may,2008,0.0,oct,1996,133,Oeste,ago,1993,39.9,ago,2021,34.2,jul,2015,-8.7,dic,2001,25.3,jul,2015,-1.1,dic,2001,-21.3,ene,2021
Aragón,"Calamocha, aeródromo",20,may,1946,11,dic,1950,15,jun,1976,80.0,oct,1956,158.0,jun,1975,0.0,nov,1981,ND,ND,ND,ND,40.0,ago,1980,33.0,ago,1962,-7.5,dic,1970,24.0,jul,1957,-2.2,feb,1956,-30.0,dic,1963
Aragón,Teruel,22,may,2008,9,feb,2013,14,jun,2021,82.4,jul,1991,156.6,jun,2023,0.0,feb,2020,122,Norte,jul,2002,41.3,ago,2021,35.7,jul,2022,-8.4,dic,2001,25.8,jul,2022,-0.6,dic,2001,-21.0,ene,2021
Aragón,Daroca,23,may,1946,12,feb,2013,17,jul,2013,95.2,sept,2021,173.0,jun,1988,0.0,ago,1964,108,Oeste,ene,2016,41.0,ago,2012,34.6,jul,1928,-6.2,dic,2001,26.5,jul,1928,-1.6,feb,1956,-22.4,dic,1963
Aragón,"Zaragoza, Aeropuerto",21,nov,2019,7,ene,1941,10,jul,2013,97.3,nov,1945,175.9,abr,1942,0.0,mar,1997,135,Sur,jul,2018,44.5,jul,2015,35.8,jul,2015,-3.0,feb,1956,28.2,ago,2022,1.5,feb,1956,-11.4,feb,1963
Canarias,Fuerteventura Aeropuerto,15,ene,2009,,,,4,sept,1984,76.5,dic,1991,143.5,dic,1991,0.0,dic,1988,120,Oeste,nov,2005,43.0,jul,1975,30.9,ago,2004,11.4,feb,1967,27.7,ago,2004,15.6,feb,1967,8.0,mar,1974
Canarias,Gran Canaria Aeropuerto,21,dic,2004,,,,3,dic,1991,104.0,sept,2022,233.7,nov,1954,0.0,dic,1994,113,Sur,nov,2005,44.2,jul,1952,30.6,ago,1990,11.3,ene,1957,26.9,ago,2023,15.3,ene,1957,6.5,mar,1954
Canarias,Lanzarote Aeropuerto,19,ene,1996,,,,3,mar,2011,71.5,ene,1980,127.3,nov,2014,0.0,nov,1998,132,Oeste,nov,2005,43.6,ago,1980,32.3,ago,2023,11.8,ene,1974,27.6,ago,2023,16.0,ene,1976,7.6,feb,2018
Canarias,Hierro Aeropuerto,20,oct,2015,,,,4,dic,1991,280.0,feb,1988,419.7,feb,1988,0.0,dic,1974,136,Noroeste,nov,2005,35.4,oct,2023,29.7,oct,2023,12.2,mar,1979,26.6,oct,2023,16.1,ene,1978,8.0,ene,1981
Canarias,Izaña,17,nov,2012,15,feb,2005,8,feb,1965,360.0,nov,1950,957.4,ene,1979,0.0,dic,2018,248,Noroeste,nov,2005,30.4,jul,1995,25.3,ago,1988,-3.3,feb,2005,20.6,ago,2024,-1.0,feb,2005,-9.8,feb,1971
Canarias,La Palma Aeropuerto,23,nov,2012,,,,3,nov,2004,183.6,feb,2004,335.8,nov,2004,0.0,oct,1971,162,Noroeste,12,1970,38.4,jul,2007,28.8,ago,2004,13.2,abr,1970,26.0,ago,2004,16.1,mar,1971,9.4,ene,1976
Canarias,Sta.Cruz de Tenerife,24,ene,1978,,,,5,ago,2015,232.6,mar,2002,273.5,nov,1930,0.0,dic,2018,162,Oeste,dic,1975,42.6,jul,1952,31.8,ago,1930,12.5,ene,1957,27.8,ago,2004,15.8,feb,1920,8.1,feb,1926
Canarias,Tenerife Norte Aeropuerto,25,nov,2014,,,,4,dic,1995,260.3,abr,1977,448.1,ene,1979,0.0,oct,1971,147,Oeste,nov,2005,41.4,jul,2009,30.0,jul,1984,6.9,feb,1959,24.7,ago,1976,10.2,feb,1954,2.0,mar,1944
Canarias,Tenerife Sur Aeropuerto,14,dic,2001,,,,4,ago,2015,136.0,nov,1983,212.8,nov,1983,0.0,dic,2019,134,Oeste,nov,2005,44.3,ago,2021,32.4,oct,2023,12.9,feb,2009,27.5,oct,2023,16.7,feb,2009,9.0,ene,1988
Cantabria,Santander,28,nov,2019,4,feb,2012,8,jun,1957,126.2,jul,1952,505.8,dic,1950,0.1,mar,1961,172,Oeste,dic,1999,37.9,ago,2023,25.8,ago,2003,3.0,feb,1956,23.6,ago,1955,4.6,feb,1956,-1.7,feb,1956
Cantabria,"Santander, ciudad",29,may,1984,11,feb,1956,9,jun,1963,145.0,jul,1952,482.9,dic,1950,0.3,mar,1961,144,Norte,ene,1978,40.2,ago,1943,24.8,ago,1995,1.6,feb,1956,21.5,ago,1995,3.8,feb,1956,-3.8,feb,1956
Cantabria,Santander Aeropuerto,28,may,1984,9,feb,1956,8,ago,1997,134.4,ago,1983,490.1,nov,1966,1.3,abr,1982,167,Noroeste,dic,1999,40.6,ago,2023,27.1,ago,2003,1.8,feb,1956,23.2,ago,2003,4.0,feb,1956,-5.4,ene,1957
Castilla-La Mancha,Albacete,21,nov,1997,7,feb,1983,10,jun,1988,116.0,sept,1996,162.1,sept,1996,0.0,sept,1985,113,Oeste,feb,1989,42.7,ago,2021,37.4,jul,2015,-2.9,ene,2005,29.2,jul,2015,3.9,ene,1992,-19.0,feb,1983
Castilla-La Mancha,Albacete Base Aérea,27,abr,1946,6,dic,1970,9,ago,2018,146.6,sept,1996,226.6,may,1959,0.0,sept,1974,157,Oeste,mar,1960,43.3,ago,2021,37.0,jul,2023,-6.2,feb,1944,28.5,jul,2015,-0.1,ene,1945,-24.0,ene,1971
Castilla-La Mancha,Ciudad Real,23,dic,1996,5,ene,2021,10,jul,1976,76.4,dic,1996,220.2,dic,1996,0.0,dic,1988,104,Suroeste,dic,1983,43.7,jul,2017,38.0,jul,2015,-5.2,dic,1970,30.2,jul,2015,1.2,dic,1970,-13.8,ene,1971
Castilla-La Mancha,"Ciudad Real, Instituto",23,feb,1947,4,feb,1963,11,jun,1963,57.4,ago,1957,177.4,ene,1970,0.0,nov,1948,ND,ND,ND,ND,44.2,jul,1945,37.7,jul,1946,-3.3,ene,1935,28.5,jul,1959,2.5,ene,1935,-9.4,feb,1956
Castilla-La Mancha,Cuenca,23,nov,2019,10,feb,2013,14,ago,1955,98.2,jul,2017,182.1,dic,2009,0.0,ago,1985,113,Suroeste,feb,1989,41.5,ago,2021,36.1,jul,2022,-6.4,feb,1956,27.7,jul,2022,-0.8,feb,1956,-17.8,ene,1971
Castilla-La Mancha,"Guadalajara, El Serranillo",22,dic,1989,5,abr,1986,16,may,1989,71.1,may,1993,150.6,dic,2009,0.0,dic,2011,101,Sur,jul,1990,43.5,ago,2012,37.3,jul,2015,-6.1,feb,2012,26.6,jul,2015,2.4,dic,2001,-12.5,ene,2009
Castilla-La Mancha,"Guadalajara, Instituto",22,may,1971,4,ene,1957,13,jul,1952,65.0,nov,1972,195.4,sept,1972,0.0,sept,1973,ND,ND,ND,ND,40.2,jul,1981,34.5,ago,1953,-2.2,ene,1983,27.2,jul,1955,1.2,ene,1952,-11.0,ene,1952
Castilla-La Mancha,Molina de Aragón,24,may,2008,18,feb,1963,15,ago,2022,70.0,jul,1970,176.8,may,1971,0.0,jul,1962,104,Oeste,dic,1976,38.0,ago,1987,33.3,jul,2022,-11.0,dic,2001,23.9,jul,2015,-3.1,feb,1956,-28.2,ene,1952
Castilla-La Mancha,Toledo,23,dic,1989,4,ene,2010,10,jun,1988,90.4,sept,2023,151.0,oct,2008,0.0,sept,2017,138,Oeste,feb,1989,44.2,ago,2021,39.1,jul,2022,-2.9,ene,2005,30.6,jul,2022,3.6,dic,2001,-13.4,ene,2021
Castilla-La Mancha,"Toledo, Lorenzana",24,dic,1977,6,ene,1945,11,jun,1925,49.5,jun,1957,165.4,dic,1958,0.0,sept,1970,83,Suroeste,ene,1969,42.0,ago,1946,35.9,ago,1933,-2.2,ene,1944,28.3,ago,1933,2.5,dic,1970,-14.4,ene,1945
Castilla y León,Ávila,23,nov,2014,12,feb,2005,8,jun,2023,88.8,nov,1997,231.5,nov,1997,0.0,sept,2017,107,Oeste,feb,1989,38.8,ago,2021,32.6,jul,2022,-5.5,ene,1985,24.9,jul,2022,-0.1,ene,1985,-16.0,ene,1985
Castilla y León,"Ávila, Ayuntamiento",20,may,1971,11,mar,1971,11,jun,1976,65.4,ago,1981,127.7,may,1971,0.0,jul,1978,92,Norte,dic,1980,36.5,jul,1958,29.9,jul,1967,-3.7,dic,1970,22.6,jul,1967,0.0,dic,1970,-15.0,dic,1962
Castilla y León,Burgos Aeropuerto,26,dic,1978,17,ene,1972,11,jun,1976,52.4,nov,1997,194.0,may,2008,0.0,ago,1991,124,Suroeste,dic,1981,39.3,jul,2022,32.3,ago,2003,-6.2,feb,1956,23.4,ago,2003,-3.3,feb,1956,-22.0,ene,1971
Castilla y León,"León, Virgen del Camino",27,dic,1989,16,feb,1963,12,jul,1955,98.5,sept,1987,253.3,ene,1996,0.0,nov,1981,130,Oeste,feb,1989,38.2,ago,1987,32.2,jul,2022,-5.6,feb,1956,23.4,jul,2022,-0.7,feb,1956,-17.4,ene,1945
Castilla y León,Ponferrada,28,dic,1989,7,dic,2009,13,jun,1976,92.2,nov,1955,307.6,dic,1978,0.0,ago,1969,107,Oeste,oct,1987,41.5,jul,2022,34.2,jul,2022,-3.5,dic,2001,25.2,jul,2022,1.4,dic,1970,-10.4,ene,1971
Castilla y León,"Palencia, Observatorio",19,abr,1971,5,ene,1972,11,jun,1976,46.2,sept,1978,173.1,jun,1932,0.0,jul,1978,78,Sur,dic,1981,40.0,jul,1990,33.8,jul,1990,-4.3,feb,1934,24.6,jul,1990,-0.6,feb,1956,-14.8,ene,1971
Castilla y León,Salamanca,22,ene,1970,6,mar,1975,9,jun,1976,48.2,jun,1989,156.1,oct,1993,0.0,nov,1981,141,Oeste,feb,1979,40.8,jul,2022,35.2,jul,2022,-6.2,ene,2000,26.1,jul,2022,-0.7,ene,2000,-13.4,ene,1970
Castilla y León,Salamanca Aeropuerto,26,nov,1997,8,dic,1960,12,sept,1979,59.0,nov,1955,189.0,nov,1997,0.0,sept,2017,137,Suroeste,ene,1969,41.1,ago,2023,35.2,jul,2022,-5.7,dic,2001,24.2,jul,2022,-0.2,feb,1956,-20.0,feb,1963
Castilla y León,Segovia,24,nov,2019,15,feb,2013,11,jun,1995,50.2,sept,2023,169.6,nov,1997,0.0,ago,2023,126,Oeste,feb,1989,38.7,ago,2021,33.7,jul,2022,-3.3,feb,2005,26.1,jul,2022,1.4,feb,2005,-13.2,mar,2005
Castilla y León,"Segovia, Instituto",23,may,1971,10,ene,1945,8,jun,1963,63.0,ago,1981,171.1,mar,1956,0.0,sept,1973,ND,ND,ND,ND,39.7,jul,1920,32.7,ago,1923,-4.8,ene,1945,24.5,ago,1949,-1.4,ene,1945,-17.0,ene,1938
